684, 2lx3b 4lx5b 6lx7b
687, 3lx2b 5lx4b 7lx6b
690, 3lx2b 3lx4b 4lx5b 2lx3b
769, 4lx3b-turk's-head whistle knife-lanyard
795, acorn
977, adaptation-of-the-butterfly
3318, adjustable-bend rolling-hitch
685, adjustable-bowstring-loop
689, adjustable-hitch midshipman's-hitch
559, adjustable-hitch magnus rolling-hitch midshipman's
530, adjustable-hitch
1987, adjustable-jam-hitch midshipman's-hitch half-hitch
2075, adjustable-jam-hitch
2236, adjustable-loop
635, african-rafter-lashing
154, anchor-bend fisherman's-bend
1838, anchor-hitch portuguese-bowline
1088, angler's-s fisherman's-s
750, angler's-loop leader-loop
212 588 2450, angler's-loop
74, angler's-loop bowline
971, anti-galligan-hitch belaying-pin-hitch
1308, arboreal-hitch-or-tree-surgeon's
950, arched-disk
1778, artillery-loop man-harness harness-loop
1501, ascot
2072, automobile-tire-scotchmen
3072, awning
297 1920, awning midshipman's-hitch stake-hitch
2253, awning post-hitch stake-hitch
1370, axle-hitch bowline midshipman's-hitch
460, backhanded-eye-splice
37 1984 1125 514, backhanded-hitch
1520, backhanded-hitch sliped-half-hitch two-half-hitches
989 75, back-handed-hitch clove-hitch
76, backhanded-hitch-and-bowline towrope-hitch bowline
1502, backhanded-hitch-and-bowline
2361, backhanded-mooring-hitch
1029, back-spliced-wall-and-crown
77 3080, bag
2422, bag-lanyard
906, baker's cowboy's-pretzel
1085, balance-pole-hicth
1996, balancing-pole-hitch
960, bale barrel-sing
287, bale-hitch
1602, bale-sling cat's-paw hook-hitches
2153, bale-sling-hitch ring-hitch lark's-head
1603, bale-sling-hitch ring-hitch tag
905 2164 2152 2090 1550 1491 1868, bale-sling-hitch
571, bale-sling-hitch strap
1698, bale-sling-hitch reef
664, banana stropper-s single-overhand-with-a-half-hitch pearl figure-eight
2400, banana-hitch button-and-eye
773, barrel
1802, barrel figure-eight overhand
3096, barrel blood
1548, based-on-chinese-butterfly
903, basket
1307 3044 1494, basket-weave
272, basket-shaped
661, bastard-weaver's left-hand-sheet-bend right-hand-sheet-bend
1036, bead button
1739, bead
361 471 666 1545 1769 1274 1372 1836 701 3200, becket-hitch
3115, becket-hitch drawing-bend bowline
1480 723, becket-hitches
754, beckets
1037, bell-ringer sheepshank
1310 462, bell-ringer
449, bell-ringer's resembles-sheepshank
475, bell-ringer's-not
2073, bend
457, bended-buoy-rope
1509, bight lineman's
1856, bight-and-eye
432, bight-hitch cow-hitch single-hitches bight-hitches
391, bight-hitch cow-hitch
2071, bight-hitch
870, bight-loop
